timestamp,temperature,humidity
2023-06-22 14:47:33,2,3
2023-06-22 14:47:35,2,3
2023-06-22 14:47:37,2,3
2023-06-22 14:47:39,2,3
2023-06-22 14:47:41,2,3
2023-06-22 14:47:44,2,3
2023-06-22 14:47:45,2,3
2023-06-22 14:47:48,2,3
2023-06-22 14:47:50,2,3
2023-06-22 14:47:52,2,3
2023-06-22 14:47:54,2,3
2023-06-22 14:47:56,2,3
2023-06-22 14:47:58,2,3
2023-06-22 14:48:00,2,3
2023-06-22 14:48:02,2,3
2023-06-22 14:48:04,2,3
2023-06-22 14:48:06,2,3
2023-06-22 14:48:08,2,3
2023-06-22 14:48:10,2,3
2023-06-22 14:48:12,2,3
2023-06-22 14:48:14,2,3
2023-06-22 14:48:16,2,3
2023-06-22 14:48:18,2,3
2023-06-22 14:48:20,2,3
2023-06-22 14:48:22,2,3
2023-06-22 14:48:24,2,3
2023-06-22 14:48:26,2,3
2023-06-22 14:48:28,2,3
2023-06-22 14:48:30,2,3
2023-06-22 14:49:06,2,3
2023-06-22 14:49:08,2,3
2023-06-22 14:49:10,2,3
2023-06-22 14:49:12,2,3
2023-06-22 14:49:14,2,3
2023-06-22 14:49:16,2,3
2023-06-22 14:49:18,2,3
2023-06-22 14:49:20,2,3
2023-06-22 14:49:22,2,3
2023-06-22 14:49:24,2,5
2023-06-22 14:49:26,2,8
2023-06-22 14:49:28,2,9
2023-06-22 14:49:30,2,9
2023-06-22 14:49:32,2,9
2023-06-22 14:49:34,2,9
2023-06-22 14:49:36,2,9
2023-06-22 14:49:38,2,9
2023-06-22 14:49:40,2,8
2023-06-22 14:49:42,2,7
2023-06-22 14:49:44,2,7
2023-06-22 14:49:46,2,7
2023-06-22 14:49:48,2,6
2023-06-22 14:49:50,2,6
2023-06-22 14:49:52,2,6
2023-06-22 14:49:54,2,5
2023-06-22 14:49:56,2,5
2023-06-22 14:49:58,2,5
2023-06-22 14:50:00,2,5
2023-06-22 14:50:02,2,6
2023-06-22 14:50:05,2,6
2023-06-22 14:50:06,2,5
2023-06-22 14:50:08,2,5
2023-06-22 14:50:10,2,5
2023-06-22 14:50:13,2,5
2023-06-22 14:50:14,2,5
2023-06-22 14:50:16,2,5
2023-06-22 14:50:18,2,5
2023-06-22 14:50:21,2,4
2023-06-22 14:50:22,2,4
2023-06-22 14:50:25,2,4
2023-06-22 14:50:26,2,4
2023-06-22 14:50:28,2,4
2023-06-22 14:50:31,2,4
2023-06-22 14:50:32,2,4
2023-06-22 14:50:35,2,4
2023-06-22 14:50:37,2,4
2023-06-22 14:50:39,2,4
2023-06-22 14:50:41,2,4
2023-06-22 14:50:43,2,4
2023-06-22 14:50:45,2,4
2023-06-22 14:50:47,2,4
2023-06-22 14:50:49,2,4
2023-06-22 14:50:51,2,4
2023-06-22 14:50:53,2,4
2023-06-22 14:50:55,2,4
2023-06-22 14:50:57,2,4
2023-06-22 14:50:59,2,4
2023-06-22 14:51:01,2,4
2023-06-22 14:51:03,2,4
2023-06-22 14:51:05,2,4
2023-06-22 14:51:07,2,4
2023-06-22 14:51:09,2,4
2023-06-22 14:51:11,2,4
2023-06-22 14:51:13,2,4
2023-06-22 14:51:15,2,4
2023-06-22 14:51:17,2,4
2023-06-22 14:51:19,2,3
2023-06-22 14:51:21,2,4
2023-06-22 14:51:23,2,3
2023-06-22 14:51:25,2,3
2023-06-22 14:51:27,2,3
2023-06-22 14:51:29,2,3
2023-06-22 14:51:31,2,3
2023-06-22 14:51:33,2,3
2023-06-22 14:51:35,2,3
2023-06-22 14:51:37,2,3
2023-06-22 14:51:39,2,3
2023-06-22 14:53:17,2,3
2023-06-22 14:53:19,2,3
2023-06-22 14:53:21,2,3
2023-06-22 14:53:23,2,3
2023-06-22 14:53:25,2,3
2023-06-22 14:53:27,2,3
2023-06-22 14:53:29,2,3
2023-06-22 14:53:31,2,3
2023-06-22 14:53:33,2,3
2023-06-22 14:53:35,2,3
2023-06-22 14:53:37,2,3
2023-06-22 14:53:39,2,3
2023-06-22 14:53:41,2,3
2023-06-22 14:53:43,2,3
2023-06-22 14:53:45,2,3
2023-06-22 14:53:47,2,3
2023-06-22 14:53:49,2,3
2023-06-22 14:53:51,2,3
2023-06-22 14:53:53,2,3
2023-06-22 14:53:55,2,3
2023-06-22 14:53:57,2,3
2023-06-22 14:53:59,2,3
2023-06-22 14:54:01,2,3
2023-06-22 14:54:03,2,3
2023-06-22 14:54:05,2,3
2023-06-22 14:54:07,2,3
2023-06-22 14:54:09,2,3
2023-06-22 14:54:11,2,3
2023-06-22 14:54:13,2,3
2023-06-22 14:54:15,2,3
2023-06-22 14:54:17,2,3
2023-06-22 14:54:19,2,3
2023-06-22 14:54:21,2,3
2023-06-22 14:54:23,2,3
2023-06-22 14:54:25,2,3
2023-06-22 14:54:27,2,3
2023-06-22 14:54:29,2,3
2023-06-22 14:54:31,2,3
2023-06-22 14:54:33,2,3
2023-06-22 14:54:35,2,3
2023-06-22 14:54:37,2,3
2023-06-22 14:54:39,2,3
2023-06-22 14:54:41,2,3
2023-06-22 14:54:43,2,3
2023-06-22 14:54:45,2,3
2023-06-22 14:54:47,2,3
2023-06-22 14:54:50,2,3
2023-06-22 14:54:51,2,3
2023-06-22 14:54:53,2,3
2023-06-22 14:54:55,2,3
2023-06-22 14:54:57,2,3
2023-06-22 14:55:00,2,3
2023-06-22 14:55:51,23.50,54.80
2023-06-22 14:55:54,23.60,56.10
2023-06-22 14:55:56,23.50,56.10
2023-06-22 14:55:58,23.50,56.00
2023-06-22 14:56:00,23.60,56.10
